tier,platform,type,geo,priority,status,profile_url,placed_url,requires_manual_step,notes
1,Яндекс Бизнес,company_profile,RU,high,skipped_no_geo,https://business.yandex.ru/,,yes,Пропущено: онлайн без фиксированного адреса/города; локальная карточка нецелесообразна
1,Google Business Profile,company_profile,global,high,skipped_no_geo,https://business.google.com/,,yes,Пропущено: онлайн без фиксированного адреса/гео; отдельный бизнес-профиль с локализацией не планируется
1,2ГИС,company_profile,RU,high,skipped_no_geo,https://business.2gis.ru/,,yes,Пропущено: 2ГИС — прежде всего гео-карточка; без города/точки не подходит
1,vc.ru,author_profile,RU,high,placed,https://vc.ru/id91901,https://vc.ru/id91901,yes,Заполнить профиль и опубликовать 1-2 экспертных материала
1,Serenity (страница команды/экспертов),partner_link,RU,high,skipped_unavailable,,,no,Пропущено: площадка/раздел недоступны для размещения
2,РБК Компании,directory,RU,medium,awaiting_user_data,https://companies.rbc.ru/,,yes,Автомат: карточка обычно требует юр.данных/проверки; уточнить в поддержке RBC и прислать ссылку на карточку
2,Rusprofile,directory,RU,medium,awaiting_user_data,https://www.rusprofile.ru/,,yes,Справочник по ЕГРЮЛ/ЕГРИП: если есть ИП/ООО — дать ИНН; иначе пропустить
2,Spravker,directory,RU,medium,skipped_no_geo,https://spravker.ru/,,no,Пропущено: сеть городских справочников; вариант A без фиксированного города
2,OrgPage,directory,RU,medium,awaiting_user_registration,https://www.orgpage.ru/Cabinet/Create/,,no,Требуется регистрация ЛК; в анкете часто просят адрес — заполнить минимально корректно под онлайн
2,Cataloxy,directory,RU,medium,awaiting_user_registration,https://www.cataloxy.ru/firms_add.htm,,no,Требуется регистрация/ЛК; сайт с антиботом — завершение только вручную со стороны владельца
2,YouTube (about/profile),brand_profile,global,high,placed,https://www.youtube.com/@sergeypruss,https://www.youtube.com/@sergeypruss,yes,Ссылка в описании профиля и в релевантном видео
2,Telegram канал (описание),social_profile,RU,medium,placed,https://t.me/sergeypruss,https://t.me/sergeypruss,yes,Добавить URL сайта в био канала
3,Medium профиль,author_profile,global,low,awaiting_user_registration,https://medium.com/me,,yes,Регистрация и bio; ссылка на sergeypruss.ru в About
3,Hashnode профиль,author_profile,global,low,awaiting_user_registration,https://hashnode.com/,,yes,Создать блог-профиль; ссылка на сайт в bio
3,Crunchbase (если релевантно),brand_profile,global,low,awaiting_user_data,https://www.crunchbase.com/,,yes,Обычно нужна компания/раунд; для персонального бренда часто не подходит — по ситуации
